meter_id,customer_id,customer_type,region,country,has_solar,has_ev_charger,base_load_kw
MTR-00045,CUST-00045,Residential,Yorkshire,UK,False,True,1.004361694166592
MTR-00046,CUST-00046,Residential,Catalonia,Spain,True,False,1.0156033550847772
MTR-00047,CUST-00047,Residential,Scottish Highlands,UK,False,True,1.1514243565355973
MTR-00048,CUST-00048,Residential,Catalonia,Spain,False,True,0.5280450184552684
MTR-00049,CUST-00049,Residential,Bavaria,Germany,False,True,0.8310683058224781
MTR-00050,CUST-00050,Industrial,Bavaria,Germany,False,False,46.945711377658675
MTR-00051,CUST-00051,Commercial,Bavaria,Germany,False,False,7.0964530575384375
MTR-00052,CUST-00052,Residential,Yorkshire,UK,True,True,0.3855442778079611
MTR-00053,CUST-00053,Residential,London,UK,True,True,0.8545491300217092
MTR-00054,CUST-00054,Industrial,Scottish Highlands,UK,True,False,59.10921532044068
MTR-00055,CUST-00055,Commercial,Scottish Highlands,UK,False,True,2.3433916409195623
MTR-00056,CUST-00056,Commercial,Yorkshire,UK,True,False,6.805783121850057
MTR-00057,CUST-00057,Residential,Scottish Highlands,UK,False,True,0.45416217368350986
MTR-00058,CUST-00058,Residential,Yorkshire,UK,True,False,0.8084555503251976
MTR-00059,CUST-00059,Residential,Bavaria,Germany,True,False,0.8151874626304647
MTR-00060,CUST-00060,Commercial,Bavaria,Germany,False,True,7.566772581033682
MTR-00061,CUST-00061,Residential,Catalonia,Spain,False,False,0.7193866376831046
MTR-00062,CUST-00062,Residential,Bavaria,Germany,False,False,0.7703685979618105
MTR-00063,CUST-00063,Residential,London,UK,True,False,0.987531051005929
MTR-00064,CUST-00064,Residential,Catalonia,Spain,False,False,1.0193202448608598
MTR-00065,CUST-00065,Residential,Scottish Highlands,UK,False,False,0.7429378940178861
MTR-00066,CUST-00066,Commercial,London,UK,True,False,6.632650394626284
MTR-00067,CUST-00067,Commercial,Catalonia,Spain,True,False,6.188724703871824
MTR-00068,CUST-00068,Commercial,London,UK,False,False,7.0278813119322985
MTR-00069,CUST-00069,Residential,Yorkshire,UK,False,True,0.8396340973703511
MTR-00070,CUST-00070,Residential,Scottish Highlands,UK,False,True,1.1381126121210916
MTR-00071,CUST-00071,Residential,Bavaria,Germany,True,False,0.4077602296510105
MTR-00072,CUST-00072,Residential,Yorkshire,UK,True,False,0.4053932093100994
MTR-00073,CUST-00073,Residential,Scottish Highlands,UK,True,False,0.3789381107196915
MTR-00074,CUST-00074,Residential,Yorkshire,UK,True,False,0.892076956536475
MTR-00075,CUST-00075,Residential,Bavaria,Germany,False,True,0.6767474707113414
MTR-00076,CUST-00076,Residential,Scottish Highlands,UK,True,False,0.9968892745276587
MTR-00077,CUST-00077,Residential,London,UK,False,False,0.9041082719777334
MTR-00078,CUST-00078,Residential,London,UK,False,True,0.6002739824954143
MTR-00079,CUST-00079,Residential,Scottish Highlands,UK,False,False,1.1085298926253822
MTR-00080,CUST-00080,Residential,Bavaria,Germany,True,True,0.986278932363587
MTR-00081,CUST-00081,Residential,Catalonia,Spain,False,False,0.5434814468191581
MTR-00082,CUST-00082,Industrial,Scottish Highlands,UK,False,False,42.51946226896813
MTR-00083,CUST-00083,Residential,Yorkshire,UK,False,True,0.6277728159948486
MTR-00084,CUST-00084,Residential,Catalonia,Spain,False,False,0.5829959821838366
MTR-00085,CUST-00085,Residential,Bavaria,Germany,True,False,0.4418504837624997
MTR-00086,CUST-00086,Residential,Bavaria,Germany,True,False,0.43300503528797246
MTR-00087,CUST-00087,Industrial,Yorkshire,UK,False,False,17.452514174608304
MTR-00088,CUST-00088,Residential,London,UK,False,False,1.1425147170381695
MTR-00089,CUST-00089,Commercial,Bavaria,Germany,False,False,2.2409077972823983
MTR-00090,CUST-00090,Residential,Catalonia,Spain,False,False,0.6941136334788779
MTR-00091,CUST-00091,Residential,Scottish Highlands,UK,False,False,0.6449878404996687
MTR-00092,CUST-00092,Residential,Catalonia,Spain,False,False,0.95671713780964
MTR-00093,CUST-00093,Industrial,Catalonia,Spain,False,False,42.73390364673898
MTR-00094,CUST-00094,Residential,London,UK,False,True,0.7976937587276098
MTR-00095,CUST-00095,Residential,Catalonia,Spain,False,False,1.142525988154616
MTR-00096,CUST-00096,Residential,London,UK,False,False,1.0022713445184528
MTR-00097,CUST-00097,Residential,London,UK,False,False,0.7314326077120863
MTR-00098,CUST-00098,Residential,Bavaria,Germany,True,False,0.6387235261327435
MTR-00099,CUST-00099,Residential,Bavaria,Germany,False,False,1.1879683904318898
MTR-00100,CUST-00100,Residential,Yorkshire,UK,False,False,0.9459842124032791
